Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,5/13/2022 7:58,FALSE,Austin Running,3.21,393,0:38:06,158,175,158,169,11:52,10:36,--,20,0.86,0,0,0,0,0,0:00,0,0:00,No,02:18.0,4,0,0:37:59,0:38:33,427,453
Running,5/12/2022 19:21,FALSE,Austin Running,3.21,387,0:38:42,152,169,157,172,12:04,10:16,19,22,0.85,0,0,0,0,0,0:00,0,0:00,No,02:20.9,4,0,0:38:42,0:38:42,427,452
Running,5/11/2022 19:18,FALSE,Austin Running,3.21,388,0:39:07,159,181,156,167,12:12,10:12,--,21,0.85,0,0,0,0,0,0:00,0,0:00,No,02:19.7,4,0,0:39:05,0:40:16,427,452
Running,5/10/2022 19:08,FALSE,Austin Running,3.22,385,0:39:01,154,173,156,173,12:07,10:58,25,30,0.85,0,0,0,0,0,0:00,0,0:00,No,02:32.1,4,0,0:39:00,0:39:01,427,453
Running,5/7/2022 10:12,FALSE,Austin Running,3.2,393,0:37:35,164,181,158,169,11:45,10:56,16,20,0.87,0,0,0,0,0,0:00,0,0:00,No,02:16.1,4,0,0:37:34,0:37:38,427,452
Running,5/5/2022 17:15,FALSE,Austin Running,3.22,382,0:36:47,151,171,158,172,11:26,9:59,9,32,0.89,0,0,0,0,0,0:00,0,0:00,No,02:25.0,4,0,0:36:46,0:36:49,427,453
Running,5/4/2022 19:20,FALSE,Austin Running,3.21,381,0:38:49,152,169,155,169,12:06,10:14,2,22,0.86,0,0,0,0,0,0:00,0,0:00,No,02:20.2,4,0,0:38:31,0:40:08,427,452
Running,5/3/2022 19:21,FALSE,Austin Running,3.21,393,0:38:10,162,178,157,167,11:52,10:34,16,22,0.86,0,0,0,0,0,0:00,0,0:00,No,02:21.5,4,0,0:38:09,0:38:10,427,453
Running,5/2/2022 17:56,FALSE,Austin Running,3.21,380,0:37:51,151,172,156,169,11:49,10:14,2,20,0.87,0,0,0,0,0,0:00,0,0:00,No,02:14.3,4,0,0:37:44,0:38:26,427,452
Running,5/1/2022 8:38,FALSE,Austin Running,3.12,362,0:27:03,185,192,167,181,8:40,6:53,71,67,1.11,0,0,0,0,0,0:00,0,0:00,No,00:52.0,4,0,0:27:02,0:27:03,429,468
Running,5/1/2022 7:42,FALSE,Austin Running,0.59,67,0:06:04,154,171,159,170,10:25,8:24,--,3,0.97,0,0,0,0,0,0:00,0,0:00,No,06:08.4,1,0,0:06:04,06:08.4,430,443
Running,4/29/2022 17:55,FALSE,Austin Running,3.22,380,0:38:17,152,175,157,169,11:54,9:16,3,24,0.86,0,0,0,0,0,0:00,0,0:00,No,02:16.8,4,0,0:38:16,0:38:19,427,452
Running,4/28/2022 18:52,FALSE,Austin Running,3.21,374,0:39:05,148,169,156,165,12:12,10:51,8,30,0.85,0,0,0,0,0,0:00,0,0:00,No,02:18.1,4,0,0:38:58,0:39:07,427,452
Running,4/27/2022 19:07,FALSE,Austin Running,2.07,230,0:26:07,142,157,151,167,12:37,10:51,3,22,0.85,0,0,0,0,0,0:00,0,0:00,No,01:08.1,3,0,0:26:07,0:26:07,427,451
